Spread
T-4_pth	SP-4_pth
33,333	0
31,094	0,057
28,826	0,237
26,538	0,551
24,242	1,01
21,951	1,626
19,679	2,41
17,441	3,371
15,254	4,52
13,138	5,863
11,111	7,407
9,194	9,156
7,407	11,111
5,771	13,271
4,306	15,63
3,03	18,182
1,961	20,915
0,498	26,863
0,404	27,491
0,32	28,115
0,245	28,757
0,18	29,399
0,125	30,046
0,08	30,688
0,045	31,343
0,02	32,007
0,005	32,661
0	    33,333

Plier
T-4_pth	SP-4_pth
0	    33,323
0,099	31,895
0,393	30,59
0,88	29,414
1,553	28,372
2,405	27,467
3,426	26,702
4,606	26,076
5,931	25,588
7,389	25,234
8,967	25,01
10,648	24,912
12,42	24,932
14,268	25,064
16,178	25,299
18,136	25,631
20,131	26,051
22,15	26,551
24,183	27,122
26,219	27,757

Umbrella
T-4_pth	SP-4_pth
0		33,323
0,097	33,362
0,385	33,432
0,861	33,55
1,52	33,714
2,353	33,922
3,353	34,173
4,508	34,465
5,806	34,795
7,234	35,161
8,78	35,56
10,428	35,989
12,166	36,445
13,98	36,926
15,855	37,428
17,78	37,949
19,741	38,486
21,729	39,036
23,731	39,597
25,738	40,166

Off-axis
T-4_pth	SP-4_pth
0,026	32,357
0,074	31,975
0,147	31,608
0,246	31,257
0,371	30,92
0,522	30,597
0,699	30,29
0,901	29,997
1,129	29,719
1,383	29,456
1,662	29,206
1,968	28,971
2,298	28,75
2,655	28,543
3,037	28,349
3,444	28,169
3,877	28,002
4,336	27,847
4,819	27,706
5,328	27,577
5,862	27,46
6,421	27,354
7,005	27,26
7,614	27,178
8,248	27,106
8,906	27,045
9,588	26,993
10,295	26,952
11,026	26,919
11,78	26,896
12,558	26,882
13,359	26,875
14,184	26,876
15,031	26,885
15,9	26,901
16,791	26,924
17,704	26,952
18,638	26,987
19,593	27,028
20,568	27,074
21,563	27,124
22,577	27,18
23,61	27,24
24,661	27,305
25,729	27,374
26,814	27,447
27,914	27,524
29,03	27,604
30,16	27,689
31,303	27,778
32,459	27,871
33,626	27,968
34,804	28,07
35,991	28,177

Sawhorse
T-4_pth	SP-4_pth
9,79	19,05
8,92	19,394
8,08	19,777
7,269	20,2
6,494	20,663
5,752	21,166
5,052	21,704
4,386	22,287
3,76	22,915
3,178	23,579
2,642	24,282
2,151	25,025
1,707	25,807
1,312	26,625
0,967	27,482
0,673	28,375
0,432	29,302
0,244	30,257
0,109	31,252
0,027	32,277
0		33,332
