Td	D4h
0,000	33,239
0,003	33,088
0,369	30,689
0,031	33,354
0,001	33,333
0,115	31,279
0,031	32,284
0,054	32,608
0,026	32,073
0,009	32,533
0,216	32,285
0,254	31,567
0,121	33,085
0,102	32,179
0,179	33,101
0,014	33,042
0,135	29,942
0,270	32,112
0,171	31,937
0,089	32,912
0,124	32,546
0,061	32,822
0,037	32,969
0,009	32,937
0,003	32,945
0,332	33,110
0,019	33,289
0,154	30,338
0,125	32,537
0,283	30,604
0,122	31,741
0,283	31,995
0,231	32,593
0,305	31,982
0,336	31,783
0,343	31,260
0,061	32,156
0,046	32,417
0,010	32,886
0,413	30,243
0,082	31,960
0,085	31,510
0,259	32,875
0,243	31,648
0,047	32,793
0,040	32,639
0,227	32,145
0,181	31,438
0,012	33,021
0,012	32,615
0,008	33,174
0,133	31,600
0,204	31,318
0,159	32,507
0,172	32,362
0,146	32,088
0,067	32,985
0,211	31,574
0,156	31,162
0,184	31,709
0,305	30,640
0,205	31,316
0,279	31,397
0,321	31,514
0,100	31,728
0,121	31,764
0,051	32,961
0,065	33,040
0,109	32,300
0,160	32,473
0,181	32,015
0,251	31,025
0,264	30,504
0,259	31,818
0,223	32,452
0,333	32,918
0,051	32,810
0,053	33,136
0,052	32,900
0,087	32,415
0,126	32,439
0,157	31,370
0,121	32,463
0,080	32,235
0,133	31,642
0,093	32,142
0,070	32,159
0,111	32,308
0,131	32,549
0,003	33,033
0,020	33,054
0,140	32,288
0,142	31,417
0,291	32,813
0,453	30,983
0,086	32,931
0,156	32,399
0,131	32,731
0,157	32,403
0,364	31,302
0,014	33,029
0,072	32,201
0,038	32,763
1,171	26,116
0,083	31,620
0,110	31,366
0,091	32,431
0,131	30,624
0,300	32,625
0,244	32,806
0,238	32,952
0,024	32,122
0,059	31,627
0,007	33,052
0,045	32,328
0,020	32,527
0,102	31,916
0,016	32,983
0,020	32,527
0,857	25,823
0,228	32,680
0,336	32,302
0,303	31,823
0,287	32,728
0,219	31,987
0,206	32,570
0,151	31,583
0,192	31,769
0,120	31,634
0,081	32,395
0,391	30,813
0,055	33,001
0,302	31,831
0,536	31,633
0,016	32,437
0,154	32,582
0,047	32,234
0,010	33,084
0,120	31,464
0,177	31,239
0,123	31,976
0,135	31,765
0,087	32,542
0,136	31,784
0,203	32,770
0,212	33,218
0,158	31,530
0,174	31,855
0,208	31,636
0,197	32,921
0,166	31,804
0,250	31,963
0,178	32,738
0,219	32,645
0,157	33,058
0,128	32,638
0,135	32,583
0,063	32,456
0,171	31,800
0,153	32,077
0,452	29,439
0,124	32,245
0,084	32,469
0,146	31,349
0,069	32,268
0,198	31,247
0,105	31,818
0,083	32,439
0,273	31,216
0,192	33,181
0,185	32,655
0,030	32,349
0,308	32,189
0,225	30,251
0,137	31,737
0,069	33,059
0,198	32,286
0,196	32,682
0,167	30,587
0,016	32,851
0,038	32,867
0,018	32,257
0,227	32,364
0,184	32,757
0,030	32,853
0,128	32,364
0,122	31,740
0,070	32,522
0,074	32,531
0,072	31,819
0,056	32,570
0,125	31,799
0,203	33,080
0,169	32,414
0,180	31,422
0,009	32,671
